Object Constellation Type RA_Hours RA_Minutes Dec_Degrees Dec_Minutes Magnitude Dimensions Distance(kly)
054 Sgr 2 18 55.1 -30 29  7.6    9.1       88.7    
056 Lyr 2 19 16.6 +30 11  8.3    7.1       32.9    
055 Sgr 2 19 40.0 -30 58  6.3   19.0       17.6    
071 Sge 2 19 53.8 +18 47  8.2    7.2       12.7    
027 Vul 3 19 59.6 +22 43  7.4  8.0x5.7      1.25   
075 Sgr 2 20 06.1 -21 55  8.5    6.0       61.3    
029 Cyg 1 20 23.9 +38 32  7.1    7.0        4.0    
072 Aqr 2 20 53.5 -12 32  9.3    5.9       55.4    
073 Aqr A 20 58.9 -12 38  9.0    2.8        2.0      
015 Peg 2 21 30.0 +12 10  6.2   12.3       33.6    
039 Cyg 1 21 32.2 +48 26  4.6   32.0        0.825  
002 Aqr 2 21 33.5 -00 49  6.5   12.9       37.5    
030 Cap 2 21 40.4 -23 11  7.2   11.0       26.1    
052 Cas 1 23 24.2 +61 35  7.3   13.0        5.0   
