"Austin, TX";"Longitude=97°48'48""West";"Latitude=+30°17'44""";"Time zone=CST"
"Moon";"Date Coord.";"";"";"";"";"";"";"";"";""
"4h30m UT";"RA";"DE";"Magn.";"Diam.";"Illum.";"Rise";"Culmination";"Set";"Az";"Alt"
"2021-02-08";" 18h20m14.5s";"-24°53'08""";"-7.9";"1882.8";"0.15";"  4h55m";" 10h04m";" 15h13m";"+68°14'";"-77°05'"
"2021-02-09";" 19h20m09.4s";"-24°48'57""";"-6.9";"1870.6";"0.08";"  5h53m";" 11h03m";" 16h15m";"+351°53'";"-84°26'"
"2021-02-10";" 20h18m36.9s";"-23°18'04""";"-3.4";"1857.4";"0.03";"  6h43m";" 11h59m";" 17h18m";"+294°59'";"-75°13'"
"2021-02-11";" 21h14m25.5s";"-20°31'30""";"0.0";"1843.4";"0.00";"  7h27m";" 12h51m";" 18h20m";"+285°06'";"-63°14'"
"2021-02-12";" 22h07m01.8s";"-16°45'11""";"0.0";"1829.0";"0.00";"  8h05m";" 13h40m";" 19h21m";"+281°24'";"-51°11'"
"2021-02-13";" 22h56m30.0s";"-12°16'25""";"-2.4";"1814.8";"0.02";"  8h39m";" 14h26m";" 20h18m";"+279°28'";"-39°17'"
"2021-02-14";" 23h43m20.8s";"-07°21'31""";"-6.0";"1801.8";"0.06";"  9h10m";" 15h09m";" 21h14m";"+278°14'";"-27°36'"
"2021-02-15";"  0h28m19.4s";"-02°14'35""";"-7.6";"1791.0";"0.12";"  9h39m";" 15h50m";" 22h08m";"+277°19'";"-16°07'"
"2021-02-16";"  1h12m17.0s";"+02°52'33""";"-8.3";"1783.4";"0.19";" 10h07m";" 16h31m";" 23h01m";"+276°33'";"-04°50'"
"2021-02-17";"  1h56m06.4s";"+07°49'44""";"-8.8";"1779.8";"0.26";" 10h36m";" 17h13m";" 23h55m";"+275°48'";"+05°46'"
"2021-02-18";"  2h40m39.2s";"+12°27'43""";"-9.3";"1781.0";"0.35";" 11h07m";" 17h55m";"      ";"+274°58'";"+16°39'"
"2021-02-19";"  3h26m43.2s";"+16°37'13""";"-9.8";"1787.5";"0.44";" 11h42m";" 18h41m";"  0h50m";"+273°56'";"+27°36'"
